 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3
85	1772-062-249_E08	260	170	227.982	16.912	4.415	5	28	160	220	227.982	15.642	4.207	4	29	227.982	14	4.753	4	30	227.982	12.745	4.018	3	23
86	1772-062-249_E09	227	173	227.982	62.058	29.620	17	135	127	223	227.982	17.708	4.788	7	34	227.982	51.883	22.356	11	110	227.982	12	3.913	4	23
87	1772-062-249_E10	223	172	227.982	32.182	10.497	14	61	123	222	227.982	16.124	4.758	7	32	227.982	12.255	4.372	0	23	227.982	11.956	4.323	1	21
88	1772-062-249_E11	256	169	227.982	51.328	26.808	14	113	156	219	227.982	16.737	4.438	5	26	227.982	24.591	11.027	4	56	227.982	11.292	4.238	1	22
89	1772-062-249_F01	258	171	227.982	19.175	4.817	7	33	158	221	227.982	16.985	3.913	8	28	227.982	28.409	8.523	11	51	227.982	12.036	4.562	2	23
90	1772-062-249_F02	225	171	227.982	17.131	4.218	7	28	125	221	227.982	16.876	4.630	7	30	227.982	12.044	4.545	2	25	227.982	12.007	4.244	0	21
91	1772-062-249_F03	260	171	227.982	16.139	4.464	6	29	160	221	227.982	15.934	4.692	5	29	227.982	11.358	3.901	1	22	227.982	12.263	4.291	1	23
92	1772-062-249_F04	256	170	227.982	25.051	5.000	11	36	156	220	227.982	18.854	4.582	4	32	227.982	41.562	6.417	24	57	227.982	19.350	4.696	8	32
93	1772-062-249_F05	223	172	227.982	54.307	8.287	34	76	123	222	227.982	15.978	4.677	5	28	227.982	57.905	11.925	29	85	227.982	12.891	3.794	1	22
94	1772-062-249_F06	258	169	227.982	15.365	4.391	5	28	158	219	227.982	16.642	4.526	2	26	227.982	12.204	4.019	1	21	227.982	12.642	4.270	1	22
95	1772-062-249_F07	228	174	227.982	17.248	4.619	5	29	128	224	227.982	14.839	4.279	4	26	227.982	14.964	5.513	0	30	227.982	12.248	4.218	0	23
96	1772-062-249_F08	257	171	227.982	41.664	13.481	17	74	157	221	227.982	15.204	4.418	5	30	227.982	44.781	18.290	15	88	227.982	10.686	4.350	0	19
97	1772-062-249_F09	224	173	227.982	25.679	6.745	10	42	124	223	227.982	15.226	4.016	4	25	227.982	38.518	9.192	18	62	227.982	10.701	4.738	1	22
98	1772-062-249_F10	222	173	227.982	35.533	16.240	10	80	122	223	227.982	16.912	4.395	3	26	227.982	67.540	47.328	8	188	227.982	11.146	4.365	0	26
