"Run","Well","cell_id","low.complexity","SPIKE_1","SPIKE_4","SPIKE_7","SPIKE_3","SPIKE_6","rRNA_18S","rRNA_28S","rRNA_5.8S","Nextera","HPV","HPV_as"
"1772-062-248","F12","1772-062-248_F12",2109.20069256143,8864.7396348161,891.521253087092,2.66523543523794,0,0,1786.20747325353,108.774921200649,1.33261771761897,132301.953850782,1866.49769074007,714.782828287876
"1772-062-248","G01","1772-062-248_G01",2568.27575614572,8054.9434715095,684.749673107896,62.3438050282137,0,0,1729.5244984317,97.4379999116452,3.30298304785238,117006.935851528,1098.6547362919,426.704122494429
"1772-062-248","G02","1772-062-248_G02",2858.49177241563,5947.69528934754,542.86546417793,53.4842821850177,0,0,2132.07797619366,110.128999226423,0.486220747136524,114200.125542197,1523.32960077873,557.695196965594
"1772-062-248","G03","1772-062-248_G03",3018.58442371694,7776.39229469267,420.908919015776,95.5941216774199,0,0,1826.18461962173,85.4872541872963,0.421119478755154,111880.075279318,2158.44788835954,781.597752569566
"1772-062-248","G04","1772-062-248_G04",3635.55137687274,6962.17870292777,538.135184931047,108.911787292068,0,0,1497.90206114827,92.2684310570867,4.08784188227599,108770.464758423,1484.47058067794,518.571941637297
"1772-062-248","G05","1772-062-248_G05",3647.11426286746,7325.50514343978,517.106746053673,42.22343390156,0,0,1877.1183392533,81.5798445135079,0.521276961747654,112887.738836072,1549.75640727578,545.776978949794
"1772-062-248","G06","1772-062-248_G06",3764.58825919197,6687.740515361,642.909296320041,45.5383425168991,0,0,1862.97870903404,80.3316828668894,1.0233335397056,108404.024361478,3478.56653484425,1197.04440807062
"1772-062-248","G07","1772-062-248_G07",3064.4013991088,8154.49420249005,622.5822633946,43.9118213841834,0,0,1472.31049290215,77.7078305123245,1.1495241200048,114474.439871382,1572.54899616657,535.218430274235
"1772-062-248","G08","1772-062-248_G08",3124.2137940151,6677.68717210324,605.038067175808,63.0149279047631,0,0,1648.33785098249,86.230953974939,0,110143.934623671,3137.95389107704,1147.06120644685
"1772-062-248","G09","1772-062-248_G09",2498.90222084989,6472.62999955003,610.04970909499,35.68752007423,0,0,1847.99288732209,140.164028117628,0.258605217929203,118865.819579415,2740.43949439577,973.907250721379
"1772-062-248","G10","1772-062-248_G10",3612.25298062084,6007.67518402688,601.45036395668,86.0385398030673,0,0,2452.78122994141,141.212460565669,0.273138221597039,110292.121327998,3053.9584556765,1082.17363396747
"1772-062-248","G11","1772-062-248_G11",2216.97870166879,10072.6578306674,865.775926317357,199.404342917048,0,0,2103.9896691105,88.6466916121567,0.4057056824355,124203.143326486,1380.41358448679,493.743815524003
"1772-062-248","G12","1772-062-248_G12",2960.32163615301,6666.68156136672,663.931255001361,45.2426514204517,0,0,1442.17933293341,79.1280940481151,0.186183750701447,119259.256776809,3187.09344450737,1174.63328317543
"1772-062-248","H01","1772-062-248_H01",2925.42342709452,8376.16009806812,529.402509156976,35.0122774980311,0,0,1748.71561889262,74.8756536855484,3.16376001488233,119269.956049046,1115.96361591616,405.80495124224
"1772-062-248","H02","1772-062-248_H02",2748.50288501793,7013.54362421471,546.060175831377,70.8102423130931,0,0,1743.17502471699,135.849116914147,1.3318540873936,119841.340662082,1515.20600009145,553.385373312041
"1772-062-248","H03","1772-062-248_H03",3438.75942804567,8825.12888365773,779.088696354705,56.0800868325297,0,0,1879.6883287732,131.374864771026,9.60734555298317,116422.707117613,3563.87834687522,1275.98954542063
"1772-062-248","H04","1772-062-248_H04",3748.52258893165,8325.23292472458,713.640661111585,54.194320139644,0,0,2870.82094048823,221.211361297274,0.739013456449691,112711.6226617,1989.9169004002,702.062783627206
"1772-062-248","H05","1772-062-248_H05",3138.01311135004,7045.32828465462,664.031967822173,62.4120405415758,0,0,1962.63099162286,107.145133976954,0,112733.824165192,2048.07923596948,728.586911043288
"1772-062-248","H06","1772-062-248_H06",9163.4576981334,509809.647252093,31527.6448557283,3554.98451405792,0,0,64.0537750280706,11.3036073578948,0,212517.238001221,11.3036073578948,7.53573823859654
"1772-062-248","H07","1772-062-248_H07",5379.47124257866,6349.10353902962,472.952261000389,69.2594497464976,0,0,1023.18011176423,86.574312183122,0,123180.817184552,1816.45732784217,642.89442935985
"1772-062-248","H08","1772-062-248_H08",3396.02178871528,5125.38443518439,405.566265314077,46.1497791080953,0,0,1563.57458130362,90.2930460810561,0,111988.458542199,1987.4502698508,699.269479094401
